Area,dist,climb,time
Greenmantle,2.4,650,0.2680556
Carnethy,6,2500,0.8058333
Craig Dunain,6,900,0.5608333
Ben Rha,7.5,800,0.76
Ben Lomond,8,3070,1.0377778
Goatfell,8,2866,1.2202778
Bens of Jura,16,7500,3.4102778
Cairnpapple,6,800,0.6061111
Scolty,5,800,0.4958333
Traprain,6,650,0.6625
Lairig Ghru,28,2100,3.2111111
Dollar,5,2000,0.7175
Lomonds,9.5,2200,1.0833333
Cairn Table,6,500,0.7355556
Eildon Two,4.5,1500,0.4488889
Cairngorm,10,3000,1.2041667
Seven Hills,14,2200,1.6402778
Knock Hill,3,350,1.3108333
Black Hill,4.5,1000,0.2902778
Creag Beag,5.5,600,0.5427778
Kildcon Hill,3,300,0.2658333
Meall Ant-Suidhe,3.5,1500,0.465
Half Ben Nevis,6,2200,0.7941667
Cow Hill,2,900,0.2988889
N Berwick Law,3,600,0.3113889
Creag Dubh,4,2000,0.4369444
Burnswark,6,800,0.5738889
Largo Law,5,950,0.4761111
Criffel,6.5,1750,0.8416667
Acmony,5,500,0.3491667
Ben Nevis,10,4400,1.4263889
Knockfarrel,6,600,0.5397222
Two Breweries,18,5200,2.8375
Cockleroi,4.5,850,0.4683333
Moffat Chase,20,5000,2.6638889
