id,price,mpgcitycity,mpghw,enginesize,hpower,rpm,CC,hand,passengers,length,weight,USA
1,15.9,25,31,1.8,140,6300,2890,1,5,177,2705,0
2,33.9,18,25,3.2,200,5500,2335,1,5,195,3560,0
3,29.1,20,26,2.8,172,5500,2280,1,5,180,3375,0
4,37.7,19,26,2.8,172,5500,2535,1,6,193,3405,0
5,30,22,30,3.5,208,5700,2545,1,4,186,3640,0
6,15.7,22,31,2.2,110,5200,2565,0,6,189,2880,1
7,20.8,19,28,3.8,170,4800,1570,0,6,200,3470,1
8,23.7,16,25,5.7,180,4000,1320,0,6,216,4105,1
9,26.3,19,27,3.8,170,4800,1690,0,5,198,3495,1
10,34.7,16,25,4.9,200,4100,1510,0,6,206,3620,1
11,40.1,16,25,4.6,295,6000,1985,0,5,204,3935,1
12,13.4,25,36,2.2,110,5200,2380,1,5,182,2490,1
13,11.4,25,34,2.2,110,5200,2665,1,5,184,2785,1
14,15.1,19,28,3.4,160,4600,1805,1,4,193,3240,1
15,15.9,21,29,2.2,110,5200,2595,0,6,198,3195,1
16,16.3,18,23,3.8,170,4800,1690,0,7,178,3715,1
17,16.6,15,20,4.3,165,4000,1790,0,8,194,4025,1
18,18.8,17,26,5,170,4200,1350,0,6,214,3910,1
19,38,17,25,5.7,300,5000,1450,1,2,179,3380,1
20,18.4,20,28,3.3,153,5300,1990,0,6,203,3515,1
21,15.8,23,28,3,141,5000,2090,0,6,183,3085,1
22,29.5,20,26,3.3,147,4800,1785,0,6,203,3570,1
23,9.2,29,33,1.5,92,6000,3285,1,5,174,2270,1
24,11.3,23,29,2.2,93,4800,2595,1,5,172,2670,1
25,13.3,22,27,2.5,100,4800,2535,1,6,181,2970,1
26,19,17,21,3,142,5000,1970,0,7,175,3705,1
27,15.6,21,27,2.5,100,4800,2465,0,6,192,3080,1
28,25.8,18,24,3,300,6000,2120,1,4,180,3805,1
29,12.2,29,33,1.5,92,6000,2505,1,5,174,2295,1
30,19.3,20,28,3.5,214,5800,1980,0,6,202,3490,1
31,7.4,31,33,1.3,63,5000,3150,1,4,141,1845,1
32,10.1,23,30,1.8,127,6500,2410,1,5,171,2530,1
33,11.3,22,27,2.3,96,4200,2805,1,5,177,2690,1
34,15.9,22,29,2.3,105,4600,2285,1,4,180,2850,1
